Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Компрессоры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;47 370;0,022;
август 2023;42 301;0,019;
сентябрь 2023;37 031;0,015;
октябрь 2023;42 245;0,015;
ноябрь 2023;39 699;0,015;
декабрь 2023;35 874;0,013;
январь 2024;34 708;0,013;
февраль 2024;37 049;0,015;
март 2024;41 553;0,016;
апрель 2024;47 583;0,020;
май 2024;46 756;0,019;
июнь 2024;53 353;0,027;
июль 2024;49 310;0,025;
август 2024;37 285;0,019;
сентябрь 2024;36 900;0,017;
октябрь 2024;41 277;0,016;
ноябрь 2024;39 914;0,015;
декабрь 2024;38 352;0,014;
январь 2025;39 039;0,014;
февраль 2025;40 663;0,015;
март 2025;45 325;0,016;
апрель 2025;48 418;0,018;
май 2025;46 020;0,019;
июнь 2025;52 908;0,022;
