Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Керамзит», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3 573;0,00169;
август 2023;3 462;0,00162;
сентябрь 2023;3 623;0,00151;
октябрь 2023;3 259;0,00121;
ноябрь 2023;2 597;0,00098;
декабрь 2023;2 135;0,00079;
январь 2024;2 229;0,00085;
февраль 2024;2 104;0,00085;
март 2024;3 045;0,00119;
апрель 2024;3 466;0,00145;
май 2024;4 077;0,00174;
июнь 2024;3 342;0,00171;
июль 2024;3 588;0,00183;
август 2024;3 195;0,00163;
сентябрь 2024;3 342;0,00155;
октябрь 2024;3 532;0,00142;
ноябрь 2024;2 812;0,00109;
декабрь 2024;2 125;0,00079;
январь 2025;2 389;0,00088;
февраль 2025;2 541;0,00098;
март 2025;3 196;0,00119;
апрель 2025;3 701;0,00142;
май 2025;3 744;0,00156;
июнь 2025;3 984;0,00170;
