Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Болты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;43 378;0,020;
август 2023;43 787;0,020;
сентябрь 2023;42 508;0,017;
октябрь 2023;51 741;0,019;
ноябрь 2023;46 647;0,017;
декабрь 2023;40 465;0,015;
январь 2024;39 095;0,014;
февраль 2024;42 457;0,017;
март 2024;47 881;0,018;
апрель 2024;56 020;0,023;
май 2024;51 630;0,022;
июнь 2024;45 817;0,023;
июль 2024;49 555;0,025;
август 2024;47 750;0,024;
сентябрь 2024;47 228;0,021;
октябрь 2024;56 431;0,022;
ноябрь 2024;56 570;0,021;
декабрь 2024;52 004;0,019;
январь 2025;49 397;0,018;
февраль 2025;52 187;0,020;
март 2025;63 358;0,023;
апрель 2025;61 705;0,023;
май 2025;55 646;0,023;
июнь 2025;59 412;0,025;
