Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аккумуляторы для электроинструментов», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;45;0,000021;
август 2023;62;0,000029;
сентябрь 2023;66;0,000027;
октябрь 2023;54;0,000020;
ноябрь 2023;44;0,000016;
декабрь 2023;52;0,000019;
январь 2024;80;0,000030;
февраль 2024;70;0,000028;
март 2024;74;0,000029;
апрель 2024;77;0,000032;
май 2024;92;0,000039;
июнь 2024;57;0,000029;
июль 2024;33;0,000016;
август 2024;43;0,000021;
сентябрь 2024;41;0,000019;
октябрь 2024;58;0,000023;
ноябрь 2024;52;0,000020;
декабрь 2024;36;0,000013;
январь 2025;73;0,000027;
февраль 2025;73;0,000028;
март 2025;55;0,000020;
апрель 2025;74;0,000028;
май 2025;95;0,000039;
июнь 2025;82;0,000035;
