Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тепловые пушки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;698;0,00033;
август 2023;1 167;0,00054;
сентябрь 2023;1 881;0,00078;
октябрь 2023;5 009;0,00187;
ноябрь 2023;5 208;0,00198;
декабрь 2023;9 468;0,00353;
январь 2024;5 304;0,00202;
февраль 2024;2 798;0,00114;
март 2024;1 776;0,00069;
апрель 2024;983;0,00041;
май 2024;2 640;0,00112;
июнь 2024;604;0,00030;
июль 2024;719;0,00036;
август 2024;1 511;0,00077;
сентябрь 2024;2 068;0,00096;
октябрь 2024;4 465;0,00179;
ноябрь 2024;4 860;0,00188;
декабрь 2024;4 119;0,00153;
январь 2025;2 906;0,00107;
февраль 2025;2 399;0,00092;
март 2025;1 451;0,00054;
апрель 2025;1 195;0,00046;
май 2025;1 050;0,00043;
июнь 2025;765;0,00032;
