Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стеллажи для ванной», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;115;0,000054;
август 2023;94;0,000044;
сентябрь 2023;114;0,000047;
октябрь 2023;151;0,000056;
ноябрь 2023;120;0,000045;
декабрь 2023;89;0,000033;
январь 2024;179;0,000068;
февраль 2024;109;0,000044;
март 2024;102;0,000039;
апрель 2024;106;0,000044;
май 2024;92;0,000039;
июнь 2024;89;0,000045;
июль 2024;123;0,000063;
август 2024;102;0,000052;
сентябрь 2024;92;0,000042;
октябрь 2024;98;0,000039;
ноябрь 2024;115;0,000044;
декабрь 2024;91;0,000033;
январь 2025;118;0,000043;
февраль 2025;90;0,000034;
март 2025;78;0,000029;
апрель 2025;62;0,000023;
май 2025;58;0,000024;
июнь 2025;56;0,000024;
