Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Умные розетки и выключатели», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;6;0,0000028;
август 2023;14;0,0000065;
сентябрь 2023;4;0,0000016;
октябрь 2023;5;0,0000018;
ноябрь 2023;14;0,0000053;
декабрь 2023;19;0,0000070;
январь 2024;12;0,0000045;
февраль 2024;14;0,0000057;
март 2024;20;0,0000078;
апрель 2024;3;0,0000012;
май 2024;5;0,0000021;
июнь 2024;8;0,0000040;
июль 2024;5;0,0000025;
август 2024;5;0,0000025;
сентябрь 2024;15;0,0000069;
октябрь 2024;7;0,0000028;
ноябрь 2024;5;0,0000019;
декабрь 2024;7;0,0000026;
январь 2025;10;0,0000037;
февраль 2025;14;0,0000054;
март 2025;25;0,0000093;
апрель 2025;15;0,0000057;
май 2025;4;0,0000016;
июнь 2025;4;0,0000017;
