Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фены строительные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;956;0,00045;
август 2023;1 016;0,00047;
сентябрь 2023;976;0,00040;
октябрь 2023;1 565;0,00058;
ноябрь 2023;1 682;0,00063;
декабрь 2023;2 310;0,00086;
январь 2024;2 054;0,00078;
февраль 2024;1 863;0,00076;
март 2024;1 245;0,00048;
апрель 2024;1 055;0,00044;
май 2024;1 213;0,00051;
июнь 2024;855;0,00043;
июль 2024;882;0,00045;
август 2024;1 111;0,00056;
сентябрь 2024;988;0,00045;
октябрь 2024;1 297;0,00052;
ноябрь 2024;1 383;0,00053;
декабрь 2024;1 283;0,00047;
январь 2025;1 285;0,00047;
февраль 2025;1 259;0,00048;
март 2025;1 020;0,00038;
апрель 2025;1 094;0,00042;
май 2025;914;0,00038;
июнь 2025;759;0,00032;
