Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плиты OSB», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;417;0,000197;
август 2023;286;0,000134;
сентябрь 2023;337;0,000140;
октябрь 2023;309;0,000115;
ноябрь 2023;273;0,000103;
декабрь 2023;239;0,000089;
январь 2024;195;0,000074;
февраль 2024;201;0,000082;
март 2024;229;0,000089;
апрель 2024;292;0,000122;
май 2024;341;0,000145;
июнь 2024;329;0,000168;
июль 2024;351;0,000179;
август 2024;275;0,000140;
сентябрь 2024;275;0,000127;
октябрь 2024;357;0,000143;
ноябрь 2024;254;0,000098;
декабрь 2024;169;0,000063;
январь 2025;221;0,000082;
февраль 2025;270;0,000104;
март 2025;260;0,000096;
апрель 2025;322;0,000124;
май 2025;308;0,000129;
июнь 2025;344;0,000147;
