Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стеклоблоки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;569;0,00026;
август 2023;407;0,00019;
сентябрь 2023;565;0,00023;
октябрь 2023;562;0,00021;
ноябрь 2023;510;0,00019;
декабрь 2023;456;0,00017;
январь 2024;500;0,00019;
февраль 2024;606;0,00024;
март 2024;560;0,00021;
апрель 2024;477;0,00020;
май 2024;635;0,00027;
июнь 2024;525;0,00026;
июль 2024;631;0,00032;
август 2024;540;0,00027;
сентябрь 2024;778;0,00036;
октябрь 2024;762;0,00030;
ноябрь 2024;699;0,00027;
декабрь 2024;686;0,00025;
январь 2025;738;0,00027;
февраль 2025;786;0,00030;
март 2025;891;0,00033;
апрель 2025;877;0,00033;
май 2025;821;0,00034;
июнь 2025;838;0,00035;
