Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Верстаки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3 281;0,0015;
август 2023;3 242;0,0015;
сентябрь 2023;3 385;0,0014;
октябрь 2023;4 124;0,0015;
ноябрь 2023;4 807;0,0018;
декабрь 2023;4 173;0,0015;
январь 2024;3 702;0,0014;
февраль 2024;3 731;0,0015;
март 2024;4 203;0,0016;
апрель 2024;3 082;0,0012;
май 2024;3 439;0,0014;
июнь 2024;2 862;0,0014;
июль 2024;2 976;0,0015;
август 2024;3 373;0,0017;
сентябрь 2024;3 350;0,0015;
октябрь 2024;3 976;0,0016;
ноябрь 2024;7 715;0,0029;
декабрь 2024;4 370;0,0016;
январь 2025;4 272;0,0015;
февраль 2025;4 187;0,0016;
март 2025;4 729;0,0017;
апрель 2025;4 012;0,0015;
май 2025;3 934;0,0016;
июнь 2025;3 725;0,0015;
