Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Колодки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;36 124;0,0171;
август 2023;36 890;0,0173;
сентябрь 2023;33 516;0,0139;
октябрь 2023;36 202;0,0135;
ноябрь 2023;30 091;0,0114;
декабрь 2023;20 156;0,0075;
январь 2024;18 360;0,0070;
февраль 2024;21 257;0,0086;
март 2024;30 594;0,0119;
апрель 2024;48 069;0,0202;
май 2024;39 308;0,0167;
июнь 2024;34 719;0,0177;
июль 2024;37 691;0,0193;
август 2024;36 778;0,0187;
сентябрь 2024;35 386;0,0164;
октябрь 2024;37 577;0,0151;
ноябрь 2024;32 755;0,0126;
декабрь 2024;25 418;0,0094;
январь 2025;27 807;0,0103;
февраль 2025;29 472;0,0113;
март 2025;44 251;0,0164;
апрель 2025;47 659;0,0184;
май 2025;43 246;0,0181;
июнь 2025;43 876;0,0188;
