Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Подголовники», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 833;0,00086;
август 2023;1 785;0,00083;
сентябрь 2023;1 828;0,00076;
октябрь 2023;1 759;0,00065;
ноябрь 2023;1 640;0,00062;
декабрь 2023;1 271;0,00047;
январь 2024;1 262;0,00048;
февраль 2024;1 444;0,00058;
март 2024;1 725;0,00067;
апрель 2024;1 680;0,00070;
май 2024;1 924;0,00082;
июнь 2024;1 582;0,00081;
июль 2024;1 888;0,00096;
август 2024;1 801;0,00092;
сентябрь 2024;1 739;0,00080;
октябрь 2024;1 787;0,00071;
ноябрь 2024;1 736;0,00067;
декабрь 2024;1 615;0,00060;
январь 2025;1 648;0,00061;
февраль 2025;1 759;0,00067;
март 2025;1 914;0,00071;
апрель 2025;1 798;0,00069;
май 2025;1 907;0,00079;
июнь 2025;2 033;0,00087;
