Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шумо», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;142;0,000067;
август 2023;151;0,000070;
сентябрь 2023;152;0,000063;
октябрь 2023;137;0,000051;
ноябрь 2023;130;0,000049;
декабрь 2023;133;0,000049;
январь 2024;161;0,000061;
февраль 2024;121;0,000049;
март 2024;151;0,000059;
апрель 2024;179;0,000075;
май 2024;156;0,000066;
июнь 2024;115;0,000058;
июль 2024;129;0,000066;
август 2024;152;0,000077;
сентябрь 2024;153;0,000071;
октябрь 2024;130;0,000052;
ноябрь 2024;132;0,000051;
декабрь 2024;144;0,000053;
январь 2025;165;0,000061;
февраль 2025;165;0,000063;
март 2025;161;0,000059;
апрель 2025;185;0,000071;
май 2025;177;0,000074;
июнь 2025;163;0,000069;
