Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пенополистирол (пенопласт), экструдированный XPS», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;4 221;0,0020;
август 2023;4 081;0,0019;
сентябрь 2023;4 427;0,0018;
октябрь 2023;4 319;0,0016;
ноябрь 2023;3 742;0,0014;
декабрь 2023;3 156;0,0011;
январь 2024;2 930;0,0011;
февраль 2024;2 717;0,0011;
март 2024;3 359;0,0013;
апрель 2024;3 714;0,0015;
май 2024;4 376;0,0018;
июнь 2024;4 124;0,0021;
июль 2024;4 178;0,0021;
август 2024;4 028;0,0020;
сентябрь 2024;4 056;0,0018;
октябрь 2024;4 199;0,0016;
ноябрь 2024;3 643;0,0014;
декабрь 2024;3 159;0,0011;
январь 2025;2 971;0,0011;
февраль 2025;3 216;0,0012;
март 2025;3 626;0,0013;
апрель 2025;3 907;0,0015;
май 2025;4 107;0,0017;
июнь 2025;4 537;0,0019;
