Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Поролон», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;4 952;0,0023;
август 2023;4 810;0,0022;
сентябрь 2023;4 702;0,0019;
октябрь 2023;5 640;0,0021;
ноябрь 2023;5 975;0,0022;
декабрь 2023;5 664;0,0021;
январь 2024;5 274;0,0020;
февраль 2024;5 272;0,0021;
март 2024;5 608;0,0021;
апрель 2024;4 791;0,0020;
май 2024;4 922;0,0021;
июнь 2024;4 155;0,0021;
июль 2024;4 567;0,0023;
август 2024;4 441;0,0022;
сентябрь 2024;4 322;0,0020;
октябрь 2024;5 319;0,0021;
ноябрь 2024;5 693;0,0022;
декабрь 2024;5 840;0,0021;
январь 2025;6 108;0,0022;
февраль 2025;5 406;0,0020;
март 2025;6 249;0,0023;
апрель 2025;4 740;0,0018;
май 2025;4 609;0,0019;
июнь 2025;4 636;0,0019;
