Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Перфорированный крепеж», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;39;0,0000184;
август 2023;40;0,0000188;
сентябрь 2023;31;0,0000129;
октябрь 2023;30;0,0000112;
ноябрь 2023;33;0,0000125;
декабрь 2023;32;0,0000119;
январь 2024;17;0,0000065;
февраль 2024;42;0,0000171;
март 2024;40;0,0000156;
апрель 2024;55;0,0000231;
май 2024;16;0,0000068;
июнь 2024;57;0,0000291;
июль 2024;27;0,0000138;
август 2024;16;0,0000081;
сентябрь 2024;20;0,0000092;
октябрь 2024;24;0,0000096;
ноябрь 2024;38;0,0000147;
декабрь 2024;31;0,0000115;
январь 2025;20;0,0000074;
февраль 2025;27;0,0000104;
март 2025;60;0,0000223;
апрель 2025;39;0,0000150;
май 2025;26;0,0000108;
июнь 2025;18;0,0000077;
