Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Коробки дверные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;905;0,00042;
август 2023;913;0,00042;
сентябрь 2023;916;0,00038;
октябрь 2023;932;0,00034;
ноябрь 2023;1 073;0,00040;
декабрь 2023;862;0,00032;
январь 2024;850;0,00032;
февраль 2024;752;0,00030;
март 2024;875;0,00034;
апрель 2024;753;0,00031;
май 2024;782;0,00033;
июнь 2024;677;0,00034;
июль 2024;802;0,00041;
август 2024;815;0,00041;
сентябрь 2024;714;0,00033;
октябрь 2024;1 004;0,00040;
ноябрь 2024;1 019;0,00039;
декабрь 2024;1 100;0,00041;
январь 2025;1 172;0,00043;
февраль 2025;1 094;0,00042;
март 2025;1 086;0,00040;
апрель 2025;914;0,00035;
май 2025;867;0,00036;
июнь 2025;890;0,00038;
