Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Наборы инструментов», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;5 928;0,0028;
август 2023;5 794;0,0027;
сентябрь 2023;6 303;0,0026;
октябрь 2023;6 893;0,0025;
ноябрь 2023;7 534;0,0028;
декабрь 2023;7 624;0,0028;
январь 2024;7 310;0,0027;
февраль 2024;8 364;0,0034;
март 2024;7 199;0,0028;
апрель 2024;6 907;0,0029;
май 2024;7 067;0,0030;
июнь 2024;5 444;0,0027;
июль 2024;5 541;0,0028;
август 2024;5 184;0,0026;
сентябрь 2024;5 585;0,0025;
октябрь 2024;7 481;0,0030;
ноябрь 2024;7 464;0,0028;
декабрь 2024;7 589;0,0028;
январь 2025;6 626;0,0024;
февраль 2025;8 411;0,0032;
март 2025;7 230;0,0026;
апрель 2025;6 859;0,0026;
май 2025;5 733;0,0024;
июнь 2025;6 119;0,0026;
