Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти для генераторов», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;45;0,0000213;
август 2023;40;0,0000188;
сентябрь 2023;33;0,0000137;
октябрь 2023;60;0,0000224;
ноябрь 2023;70;0,0000266;
декабрь 2023;93;0,0000347;
январь 2024;57;0,0000217;
февраль 2024;33;0,0000134;
март 2024;51;0,0000199;
апрель 2024;39;0,0000164;
май 2024;58;0,0000247;
июнь 2024;24;0,0000122;
июль 2024;44;0,0000225;
август 2024;44;0,0000224;
сентябрь 2024;35;0,0000162;
октябрь 2024;57;0,0000229;
ноябрь 2024;36;0,0000139;
декабрь 2024;67;0,0000250;
январь 2025;43;0,0000159;
февраль 2025;38;0,0000146;
март 2025;41;0,0000152;
апрель 2025;28;0,0000108;
май 2025;23;0,0000096;
июнь 2025;61;0,0000261;
