Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Крючки мебельные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;87;0,000041;
август 2023;122;0,000057;
сентябрь 2023;135;0,000056;
октябрь 2023;91;0,000034;
ноябрь 2023;113;0,000042;
декабрь 2023;96;0,000035;
январь 2024;100;0,000038;
февраль 2024;90;0,000036;
март 2024;192;0,000075;
апрель 2024;80;0,000033;
май 2024;54;0,000023;
июнь 2024;76;0,000038;
июль 2024;67;0,000034;
август 2024;66;0,000033;
сентябрь 2024;84;0,000039;
октябрь 2024;72;0,000029;
ноябрь 2024;138;0,000053;
декабрь 2024;112;0,000041;
январь 2025;86;0,000031;
февраль 2025;88;0,000034;
март 2025;143;0,000053;
апрель 2025;99;0,000038;
май 2025;50;0,000020;
июнь 2025;74;0,000031;
