Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Краскопульты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;5 598;0,00265;
август 2023;5 914;0,00278;
сентябрь 2023;5 223;0,00218;
октябрь 2023;3 867;0,00144;
ноябрь 2023;3 615;0,00137;
декабрь 2023;2 906;0,00108;
январь 2024;2 592;0,00099;
февраль 2024;3 402;0,00138;
март 2024;4 675;0,00183;
апрель 2024;5 860;0,00246;
май 2024;6 798;0,00290;
июнь 2024;5 404;0,00276;
июль 2024;5 642;0,00289;
август 2024;5 243;0,00267;
сентябрь 2024;4 749;0,00220;
октябрь 2024;4 104;0,00165;
ноябрь 2024;3 720;0,00144;
декабрь 2024;2 847;0,00106;
январь 2025;3 195;0,00118;
февраль 2025;3 767;0,00145;
март 2025;5 145;0,00191;
апрель 2025;6 920;0,00267;
май 2025;6 603;0,00276;
июнь 2025;6 090;0,00261;
