Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Печи отопительные дровяные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;24;0,0000113;
август 2023;41;0,0000192;
сентябрь 2023;35;0,0000146;
октябрь 2023;57;0,0000213;
ноябрь 2023;41;0,0000155;
декабрь 2023;46;0,0000171;
январь 2024;47;0,0000179;
февраль 2024;28;0,0000114;
март 2024;22;0,0000086;
апрель 2024;17;0,0000071;
май 2024;30;0,0000128;
июнь 2024;18;0,0000092;
июль 2024;15;0,0000076;
август 2024;24;0,0000122;
сентябрь 2024;27;0,0000125;
октябрь 2024;60;0,0000241;
ноябрь 2024;47;0,0000182;
декабрь 2024;47;0,0000175;
январь 2025;33;0,0000122;
февраль 2025;23;0,0000088;
март 2025;34;0,0000126;
апрель 2025;22;0,0000084;
май 2025;31;0,0000129;
июнь 2025;12;0,0000051;
