Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные мешки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;487;0,00023;
август 2023;506;0,00023;
сентябрь 2023;481;0,00020;
октябрь 2023;510;0,00019;
ноябрь 2023;459;0,00017;
декабрь 2023;320;0,00011;
январь 2024;396;0,00015;
февраль 2024;424;0,00017;
март 2024;443;0,00017;
апрель 2024;551;0,00023;
май 2024;526;0,00022;
июнь 2024;494;0,00025;
июль 2024;465;0,00023;
август 2024;930;0,00047;
сентябрь 2024;566;0,00026;
октябрь 2024;468;0,00018;
ноябрь 2024;476;0,00018;
декабрь 2024;572;0,00021;
январь 2025;461;0,00017;
февраль 2025;496;0,00019;
март 2025;524;0,00019;
апрель 2025;672;0,00025;
май 2025;564;0,00023;
июнь 2025;516;0,00022;
