Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Реечный потолок», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;584;0,00027;
август 2023;562;0,00026;
сентябрь 2023;761;0,00031;
октябрь 2023;598;0,00022;
ноябрь 2023;770;0,00029;
декабрь 2023;626;0,00023;
январь 2024;601;0,00022;
февраль 2024;632;0,00025;
март 2024;724;0,00028;
апрель 2024;795;0,00033;
май 2024;549;0,00023;
июнь 2024;485;0,00024;
июль 2024;667;0,00034;
август 2024;667;0,00034;
сентябрь 2024;624;0,00028;
октябрь 2024;778;0,00031;
ноябрь 2024;923;0,00035;
декабрь 2024;865;0,00032;
январь 2025;873;0,00032;
февраль 2025;947;0,00036;
март 2025;953;0,00035;
апрель 2025;683;0,00026;
май 2025;615;0,00025;
июнь 2025;894;0,00038;
