Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Патроны», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;20 900;0,0099;
август 2023;22 095;0,0103;
сентябрь 2023;21 782;0,0090;
октябрь 2023;24 785;0,0092;
ноябрь 2023;24 788;0,0094;
декабрь 2023;24 771;0,0092;
январь 2024;25 142;0,0096;
февраль 2024;24 130;0,0098;
март 2024;26 552;0,0104;
апрель 2024;23 023;0,0096;
май 2024;23 429;0,0100;
июнь 2024;18 835;0,0096;
июль 2024;18 677;0,0095;
август 2024;20 410;0,0104;
сентябрь 2024;20 582;0,0095;
октябрь 2024;24 869;0,0100;
ноябрь 2024;26 962;0,0104;
декабрь 2024;27 926;0,0104;
январь 2025;26 377;0,0097;
февраль 2025;27 525;0,0106;
март 2025;29 138;0,0108;
апрель 2025;26 897;0,0103;
май 2025;23 185;0,0097;
июнь 2025;23 086;0,0099;
