Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые стойки с верхним душем», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;16;0,00000758;
август 2023;11;0,00000517;
сентябрь 2023;12;0,00000500;
октябрь 2023;13;0,00000485;
ноябрь 2023;15;0,00000570;
декабрь 2023;3;0,00000111;
январь 2024;16;0,00000611;
февраль 2024;12;0,00000490;
март 2024;13;0,00000509;
апрель 2024;6;0,00000252;
май 2024;5;0,00000213;
июнь 2024;1;0,00000051;
июль 2024;12;0,00000615;
август 2024;6;0,00000306;
сентябрь 2024;6;0,00000278;
октябрь 2024;4;0,00000161;
ноябрь 2024;7;0,00000271;
декабрь 2024;8;0,00000298;
январь 2025;3;0,00000111;
февраль 2025;2;0,00000077;
март 2025;2;0,00000074;
апрель 2025;14;0,00000540;
май 2025;4;0,00000167;
июнь 2025;12;0,00000514;
