Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Глазки дверные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;160;0,000075;
август 2023;166;0,000078;
сентябрь 2023;142;0,000059;
октябрь 2023;245;0,000091;
ноябрь 2023;203;0,000077;
декабрь 2023;265;0,000098;
январь 2024;215;0,000082;
февраль 2024;202;0,000082;
март 2024;285;0,000111;
апрель 2024;228;0,000095;
май 2024;242;0,000103;
июнь 2024;160;0,000081;
июль 2024;178;0,000091;
август 2024;187;0,000095;
сентябрь 2024;197;0,000091;
октябрь 2024;233;0,000093;
ноябрь 2024;222;0,000086;
декабрь 2024;253;0,000094;
январь 2025;278;0,000103;
февраль 2025;284;0,000109;
март 2025;307;0,000114;
апрель 2025;240;0,000092;
май 2025;215;0,000090;
июнь 2025;176;0,000075;
