Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные вышки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;181;0,000085;
август 2023;193;0,000090;
сентябрь 2023;168;0,000070;
октябрь 2023;177;0,000066;
ноябрь 2023;119;0,000045;
декабрь 2023;115;0,000042;
январь 2024;110;0,000042;
февраль 2024;378;0,000154;
март 2024;170;0,000066;
апрель 2024;134;0,000056;
май 2024;146;0,000062;
июнь 2024;164;0,000084;
июль 2024;132;0,000067;
август 2024;106;0,000054;
сентябрь 2024;211;0,000097;
октябрь 2024;179;0,000072;
ноябрь 2024;152;0,000058;
декабрь 2024;116;0,000043;
январь 2025;112;0,000041;
февраль 2025;126;0,000048;
март 2025;175;0,000065;
апрель 2025;126;0,000048;
май 2025;113;0,000047;
июнь 2025;146;0,000062;
