Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Поверхностные насосы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 634;0,00077;
август 2023;1 064;0,00050;
сентябрь 2023;790;0,00032;
октябрь 2023;716;0,00026;
ноябрь 2023;538;0,00020;
декабрь 2023;523;0,00019;
январь 2024;489;0,00018;
февраль 2024;653;0,00026;
март 2024;703;0,00027;
апрель 2024;1 620;0,00068;
май 2024;1 726;0,00073;
июнь 2024;2 050;0,00105;
июль 2024;1 622;0,00083;
август 2024;608;0,00031;
сентябрь 2024;755;0,00035;
октябрь 2024;816;0,00032;
ноябрь 2024;548;0,00021;
декабрь 2024;413;0,00015;
январь 2025;604;0,00022;
февраль 2025;522;0,00020;
март 2025;840;0,00031;
апрель 2025;1 356;0,00052;
май 2025;1 735;0,00072;
июнь 2025;1 746;0,00074;
