Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Отбойные молотки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 542;0,00073;
август 2023;1 406;0,00066;
сентябрь 2023;1 282;0,00053;
октябрь 2023;1 528;0,00057;
ноябрь 2023;1 685;0,00064;
декабрь 2023;1 326;0,00049;
январь 2024;1 334;0,00051;
февраль 2024;1 409;0,00057;
март 2024;1 469;0,00057;
апрель 2024;1 393;0,00058;
май 2024;1 478;0,00063;
июнь 2024;1 425;0,00072;
июль 2024;1 401;0,00071;
август 2024;1 349;0,00068;
сентябрь 2024;1 215;0,00056;
октябрь 2024;1 354;0,00054;
ноябрь 2024;1 151;0,00044;
декабрь 2024;1 230;0,00045;
январь 2025;1 476;0,00054;
февраль 2025;1 612;0,00062;
март 2025;1 486;0,00055;
апрель 2025;1 338;0,00051;
май 2025;1 621;0,00067;
июнь 2025;1 352;0,00058;
