Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кольца для занавесок», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;10;0,0000047;
август 2023;10;0,0000047;
сентябрь 2023;17;0,0000070;
октябрь 2023;21;0,0000078;
ноябрь 2023;35;0,0000133;
декабрь 2023;8;0,0000029;
январь 2024;15;0,0000057;
февраль 2024;8;0,0000032;
март 2024;22;0,0000086;
апрель 2024;8;0,0000033;
май 2024;0;0;
июнь 2024;10;0,0000051;
июль 2024;5;0,0000025;
август 2024;20;0,0000102;
сентябрь 2024;6;0,0000027;
октябрь 2024;19;0,0000076;
ноябрь 2024;23;0,0000089;
декабрь 2024;21;0,0000078;
январь 2025;9;0,0000033;
февраль 2025;15;0,0000057;
март 2025;13;0,0000048;
апрель 2025;10;0,0000038;
май 2025;9;0,0000037;
июнь 2025;8;0,0000034;
