Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Буры, пики и зубила», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;16 000;0,0075;
август 2023;17 274;0,0081;
сентябрь 2023;23 882;0,0099;
октябрь 2023;30 099;0,0112;
ноябрь 2023;25 363;0,0096;
декабрь 2023;26 145;0,0097;
январь 2024;25 026;0,0095;
февраль 2024;25 531;0,0104;
март 2024;25 916;0,0101;
апрель 2024;29 694;0,0124;
май 2024;25 980;0,0110;
июнь 2024;15 987;0,0081;
июль 2024;16 098;0,0082;
август 2024;21 421;0,0109;
сентябрь 2024;23 416;0,0108;
октябрь 2024;31 299;0,0126;
ноябрь 2024;29 188;0,0113;
декабрь 2024;29 927;0,0111;
январь 2025;27 504;0,0102;
февраль 2025;29 221;0,0112;
март 2025;29 152;0,0108;
апрель 2025;33 725;0,0130;
май 2025;26 010;0,0108;
июнь 2025;19 442;0,0083;
