Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Масла, воски для дерева», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;326 136;0,15;
август 2023;340 675;0,16;
сентябрь 2023;339 228;0,14;
октябрь 2023;375 195;0,14;
ноябрь 2023;358 227;0,13;
декабрь 2023;346 390;0,12;
январь 2024;333 674;0,12;
февраль 2024;329 074;0,13;
март 2024;370 495;0,14;
апрель 2024;363 839;0,15;
май 2024;362 129;0,15;
июнь 2024;304 413;0,15;
июль 2024;311 692;0,15;
август 2024;317 392;0,16;
сентябрь 2024;323 593;0,15;
октябрь 2024;385 034;0,15;
ноябрь 2024;374 447;0,14;
декабрь 2024;348 050;0,12;
январь 2025;349 467;0,12;
февраль 2025;350 712;0,13;
март 2025;393 701;0,14;
апрель 2025;385 926;0,14;
май 2025;377 143;0,15;
июнь 2025;366 800;0,15;
