Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Держатели для душа», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;238;0,000112;
август 2023;212;0,000099;
сентябрь 2023;175;0,000073;
октябрь 2023;215;0,000080;
ноябрь 2023;228;0,000086;
декабрь 2023;155;0,000057;
январь 2024;235;0,000089;
февраль 2024;192;0,000078;
март 2024;193;0,000075;
апрель 2024;168;0,000070;
май 2024;214;0,000091;
июнь 2024;160;0,000081;
июль 2024;167;0,000085;
август 2024;172;0,000087;
сентябрь 2024;192;0,000089;
октябрь 2024;214;0,000086;
ноябрь 2024;200;0,000077;
декабрь 2024;222;0,000082;
январь 2025;221;0,000082;
февраль 2025;230;0,000088;
март 2025;262;0,000097;
апрель 2025;153;0,000059;
май 2025;181;0,000075;
июнь 2025;216;0,000092;
