Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Цепи», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;45 173;0,021;
август 2023;42 966;0,020;
сентябрь 2023;59 956;0,025;
октябрь 2023;70 888;0,026;
ноябрь 2023;72 377;0,027;
декабрь 2023;81 187;0,030;
январь 2024;68 247;0,026;
февраль 2024;81 762;0,033;
март 2024;88 579;0,034;
апрель 2024;100 651;0,042;
май 2024;89 355;0,038;
июнь 2024;60 243;0,030;
июль 2024;45 582;0,023;
август 2024;41 955;0,021;
сентябрь 2024;51 082;0,023;
октябрь 2024;65 052;0,026;
ноябрь 2024;72 922;0,028;
декабрь 2024;83 133;0,031;
январь 2025;72 693;0,026;
февраль 2025;85 934;0,033;
март 2025;94 898;0,035;
апрель 2025;113 672;0,043;
май 2025;88 626;0,037;
июнь 2025;72 146;0,030;
