Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Вентиляторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;79 329;0,037;
август 2023;62 047;0,029;
сентябрь 2023;37 957;0,015;
октябрь 2023;42 887;0,016;
ноябрь 2023;43 680;0,016;
декабрь 2023;47 524;0,017;
январь 2024;46 674;0,017;
февраль 2024;44 475;0,018;
март 2024;45 252;0,017;
апрель 2024;54 298;0,022;
май 2024;48 084;0,020;
июнь 2024;100 720;0,051;
июль 2024;82 497;0,042;
август 2024;42 350;0,021;
сентябрь 2024;38 942;0,018;
октябрь 2024;42 995;0,017;
ноябрь 2024;44 360;0,017;
декабрь 2024;45 865;0,017;
январь 2025;44 508;0,016;
февраль 2025;46 175;0,017;
март 2025;48 661;0,018;
апрель 2025;54 159;0,020;
май 2025;56 861;0,023;
июнь 2025;67 978;0,029;
