Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Грунты», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;60 434;0,0286;
август 2023;49 089;0,0230;
сентябрь 2023;50 518;0,0210;
октябрь 2023;42 020;0,0157;
ноябрь 2023;28 227;0,0107;
декабрь 2023;23 573;0,0087;
январь 2024;28 894;0,0110;
февраль 2024;36 991;0,0151;
март 2024;44 887;0,0175;
апрель 2024;94 351;0,0397;
май 2024;124 686;0,0532;
июнь 2024;87 813;0,0449;
июль 2024;69 123;0,0354;
август 2024;45 622;0,0233;
сентябрь 2024;50 456;0,0234;
октябрь 2024;44 533;0,0179;
ноябрь 2024;30 775;0,0119;
декабрь 2024;28 721;0,0107;
январь 2025;36 009;0,0133;
февраль 2025;42 787;0,0165;
март 2025;55 201;0,0205;
апрель 2025;86 375;0,0333;
май 2025;143 612;0,0601;
июнь 2025;81 468;0,0349;
