Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Лейки для душа», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 229;0,00058;
август 2023;950;0,00044;
сентябрь 2023;975;0,00040;
октябрь 2023;1 018;0,00038;
ноябрь 2023;1 055;0,00040;
декабрь 2023;939;0,00035;
январь 2024;1 014;0,00038;
февраль 2024;967;0,00039;
март 2024;1 033;0,00040;
апрель 2024;842;0,00035;
май 2024;1 045;0,00044;
июнь 2024;1 139;0,00058;
июль 2024;1 108;0,00056;
август 2024;963;0,00049;
сентябрь 2024;824;0,00038;
октябрь 2024;877;0,00035;
ноябрь 2024;1 110;0,00043;
декабрь 2024;1 019;0,00038;
январь 2025;1 076;0,00039;
февраль 2025;1 025;0,00039;
март 2025;1 148;0,00042;
апрель 2025;964;0,00037;
май 2025;976;0,00040;
июнь 2025;1 215;0,00052;
