Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Анкеры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;6 942;0,0032;
август 2023;7 330;0,0034;
сентябрь 2023;6 911;0,0028;
октябрь 2023;7 680;0,0028;
ноябрь 2023;7 651;0,0029;
декабрь 2023;6 058;0,0022;
январь 2024;5 428;0,0020;
февраль 2024;6 839;0,0027;
март 2024;7 049;0,0027;
апрель 2024;7 497;0,0031;
май 2024;8 171;0,0034;
июнь 2024;7 092;0,0036;
июль 2024;8 401;0,0043;
август 2024;7 387;0,0037;
сентябрь 2024;7 595;0,0035;
октябрь 2024;8 521;0,0034;
ноябрь 2024;8 734;0,0033;
декабрь 2024;8 070;0,0030;
январь 2025;7 295;0,0027;
февраль 2025;8 490;0,0032;
март 2025;8 749;0,0032;
апрель 2025;9 229;0,0035;
май 2025;8 634;0,0036;
июнь 2025;9 531;0,0040;
