Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Зеркала с подсветкой», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 191;0,00103;
август 2023;2 366;0,00111;
сентябрь 2023;2 203;0,00091;
октябрь 2023;2 941;0,00109;
ноябрь 2023;3 007;0,00114;
декабрь 2023;2 747;0,00102;
январь 2024;2 856;0,00109;
февраль 2024;2 743;0,00112;
март 2024;2 817;0,00110;
апрель 2024;2 057;0,00086;
май 2024;2 111;0,00090;
июнь 2024;1 678;0,00085;
июль 2024;2 031;0,00104;
август 2024;2 440;0,00124;
сентябрь 2024;2 173;0,00100;
октябрь 2024;2 447;0,00098;
ноябрь 2024;2 673;0,00103;
декабрь 2024;2 552;0,00095;
январь 2025;2 638;0,00097;
февраль 2025;2 678;0,00103;
март 2025;2 355;0,00087;
апрель 2025;1 721;0,00066;
май 2025;1 611;0,00067;
июнь 2025;1 823;0,00078;
