Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пластиковые боксы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;325;0,000154;
август 2023;295;0,000138;
сентябрь 2023;347;0,000144;
октябрь 2023;373;0,000139;
ноябрь 2023;367;0,000139;
декабрь 2023;249;0,000092;
январь 2024;211;0,000080;
февраль 2024;240;0,000098;
март 2024;267;0,000104;
апрель 2024;282;0,000118;
май 2024;379;0,000161;
июнь 2024;211;0,000108;
июль 2024;309;0,000158;
август 2024;258;0,000131;
сентябрь 2024;226;0,000104;
октябрь 2024;300;0,000120;
ноябрь 2024;264;0,000102;
декабрь 2024;216;0,000080;
январь 2025;279;0,000103;
февраль 2025;237;0,000091;
март 2025;283;0,000105;
апрель 2025;290;0,000111;
май 2025;262;0,000109;
июнь 2025;290;0,000124;
