Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Веревки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;10 466;0,0049;
август 2023;9 797;0,0046;
сентябрь 2023;10 398;0,0043;
октябрь 2023;13 117;0,0049;
ноябрь 2023;13 259;0,0050;
декабрь 2023;12 172;0,0045;
январь 2024;11 121;0,0042;
февраль 2024;11 187;0,0045;
март 2024;10 764;0,0042;
апрель 2024;11 912;0,0050;
май 2024;13 274;0,0056;
июнь 2024;10 839;0,0055;
июль 2024;10 205;0,0052;
август 2024;9 287;0,0047;
сентябрь 2024;10 342;0,0048;
октябрь 2024;12 142;0,0048;
ноябрь 2024;13 736;0,0053;
декабрь 2024;13 743;0,0051;
январь 2025;12 628;0,0046;
февраль 2025;12 785;0,0049;
март 2025;12 448;0,0046;
апрель 2025;12 593;0,0048;
май 2025;14 587;0,0061;
июнь 2025;12 733;0,0054;
