Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Циркуляционные насосы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3 600;0,0017;
август 2023;4 447;0,0020;
сентябрь 2023;5 695;0,0023;
октябрь 2023;9 055;0,0033;
ноябрь 2023;7 904;0,0030;
декабрь 2023;9 305;0,0034;
январь 2024;6 727;0,0025;
февраль 2024;5 171;0,0021;
март 2024;4 354;0,0017;
апрель 2024;3 633;0,0015;
май 2024;3 767;0,0016;
июнь 2024;3 239;0,0016;
июль 2024;3 802;0,0019;
август 2024;4 381;0,0022;
сентябрь 2024;5 641;0,0026;
октябрь 2024;9 339;0,0037;
ноябрь 2024;8 818;0,0034;
декабрь 2024;7 815;0,0029;
январь 2025;6 608;0,0024;
февраль 2025;5 934;0,0022;
март 2025;4 590;0,0017;
апрель 2025;3 854;0,0014;
май 2025;3 469;0,0014;
июнь 2025;3 682;0,0015;
