Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Камины дровяные», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;107;0,000050;
август 2023;119;0,000055;
сентябрь 2023;182;0,000075;
октябрь 2023;175;0,000065;
ноябрь 2023;173;0,000065;
декабрь 2023;285;0,000106;
январь 2024;271;0,000103;
февраль 2024;177;0,000072;
март 2024;115;0,000045;
апрель 2024;112;0,000047;
май 2024;126;0,000053;
июнь 2024;74;0,000037;
июль 2024;73;0,000037;
август 2024;123;0,000062;
сентябрь 2024;139;0,000064;
октябрь 2024;150;0,000060;
ноябрь 2024;168;0,000065;
декабрь 2024;122;0,000045;
январь 2025;172;0,000063;
февраль 2025;160;0,000061;
март 2025;85;0,000031;
апрель 2025;116;0,000044;
май 2025;78;0,000032;
июнь 2025;76;0,000032;
