Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фанера», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;16 322;0,0077;
август 2023;15 634;0,0073;
сентябрь 2023;16 955;0,0070;
октябрь 2023;18 150;0,0067;
ноябрь 2023;20 320;0,0077;
декабрь 2023;18 019;0,0067;
январь 2024;16 097;0,0061;
февраль 2024;16 598;0,0067;
март 2024;18 196;0,0071;
апрель 2024;17 987;0,0075;
май 2024;18 879;0,0080;
июнь 2024;14 046;0,0071;
июль 2024;15 146;0,0077;
август 2024;14 570;0,0074;
сентябрь 2024;15 196;0,0070;
октябрь 2024;17 708;0,0071;
ноябрь 2024;19 170;0,0074;
декабрь 2024;17 991;0,0067;
январь 2025;17 888;0,0066;
февраль 2025;18 670;0,0072;
март 2025;19 387;0,0072;
апрель 2025;19 013;0,0073;
май 2025;17 668;0,0074;
июнь 2025;16 635;0,0071;
