Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полимерпесчаная плитка», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;465;0,000220;
август 2023;535;0,000251;
сентябрь 2023;421;0,000175;
октябрь 2023;267;0,000099;
ноябрь 2023;126;0,000047;
декабрь 2023;55;0,000020;
январь 2024;71;0,000027;
февраль 2024;105;0,000042;
март 2024;185;0,000072;
апрель 2024;688;0,000289;
май 2024;707;0,000301;
июнь 2024;437;0,000223;
июль 2024;437;0,000224;
август 2024;299;0,000152;
сентябрь 2024;262;0,000121;
октябрь 2024;237;0,000095;
ноябрь 2024;85;0,000032;
декабрь 2024;54;0,000020;
январь 2025;91;0,000033;
февраль 2025;119;0,000045;
март 2025;295;0,000109;
апрель 2025;599;0,000231;
май 2025;657;0,000275;
июнь 2025;522;0,000223;
