Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шины», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;87 017;0,041;
август 2023;100 285;0,047;
сентябрь 2023;118 890;0,049;
октябрь 2023;235 386;0,087;
ноябрь 2023;122 171;0,046;
декабрь 2023;83 338;0,031;
январь 2024;82 857;0,031;
февраль 2024;97 023;0,039;
март 2024;146 743;0,057;
апрель 2024;192 297;0,080;
май 2024;118 506;0,050;
июнь 2024;85 687;0,043;
июль 2024;91 057;0,046;
август 2024;100 487;0,051;
сентябрь 2024;120 251;0,055;
октябрь 2024;209 776;0,084;
ноябрь 2024;145 085;0,056;
декабрь 2024;95 390;0,035;
январь 2025;88 868;0,033;
февраль 2025;94 208;0,036;
март 2025;189 559;0,070;
апрель 2025;149 623;0,057;
май 2025;101 155;0,042;
июнь 2025;89 342;0,038;
