Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дюбели», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;7 699;0,0036;
август 2023;8 716;0,0040;
сентябрь 2023;8 064;0,0033;
октябрь 2023;8 906;0,0033;
ноябрь 2023;8 169;0,0031;
декабрь 2023;7 147;0,0026;
январь 2024;6 639;0,0025;
февраль 2024;7 111;0,0029;
март 2024;7 908;0,0030;
апрель 2024;7 674;0,0032;
май 2024;8 513;0,0036;
июнь 2024;7 422;0,0038;
июль 2024;8 642;0,0044;
август 2024;8 943;0,0045;
сентябрь 2024;8 679;0,0040;
октябрь 2024;9 990;0,0040;
ноябрь 2024;9 657;0,0037;
декабрь 2024;9 316;0,0034;
январь 2025;8 532;0,0031;
февраль 2025;8 728;0,0033;
март 2025;9 501;0,0035;
апрель 2025;9 644;0,0037;
май 2025;9 189;0,0038;
июнь 2025;11 911;0,0051;
