Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пресс», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;46 268;0,021;
август 2023;44 453;0,020;
сентябрь 2023;42 330;0,017;
октябрь 2023;48 743;0,018;
ноябрь 2023;47 262;0,017;
декабрь 2023;48 111;0,017;
январь 2024;46 822;0,017;
февраль 2024;52 181;0,021;
март 2024;53 758;0,021;
апрель 2024;44 933;0,018;
май 2024;46 445;0,019;
июнь 2024;44 984;0,023;
июль 2024;44 769;0,022;
август 2024;38 234;0,019;
сентябрь 2024;37 784;0,017;
октябрь 2024;45 614;0,018;
ноябрь 2024;49 152;0,019;
декабрь 2024;56 006;0,020;
январь 2025;50 454;0,018;
февраль 2025;57 740;0,022;
март 2025;55 351;0,020;
апрель 2025;48 020;0,018;
май 2025;45 030;0,018;
июнь 2025;49 930;0,021;
