Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрические накопительные водонагреватели», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;763;0,00036;
август 2023;514;0,00024;
сентябрь 2023;463;0,00019;
октябрь 2023;516;0,00019;
ноябрь 2023;458;0,00017;
декабрь 2023;409;0,00015;
январь 2024;411;0,00015;
февраль 2024;407;0,00016;
март 2024;457;0,00017;
апрель 2024;474;0,00019;
май 2024;804;0,00034;
июнь 2024;624;0,00031;
июль 2024;655;0,00033;
август 2024;582;0,00029;
сентябрь 2024;513;0,00023;
октябрь 2024;555;0,00022;
ноябрь 2024;557;0,00021;
декабрь 2024;513;0,00019;
январь 2025;436;0,00016;
февраль 2025;410;0,00015;
март 2025;495;0,00018;
апрель 2025;594;0,00022;
май 2025;869;0,00036;
июнь 2025;866;0,00037;
