Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Штанги для душа», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;172;0,000081;
август 2023;197;0,000092;
сентябрь 2023;171;0,000071;
октябрь 2023;147;0,000054;
ноябрь 2023;148;0,000056;
декабрь 2023;117;0,000043;
январь 2024;172;0,000065;
февраль 2024;123;0,000050;
март 2024;155;0,000060;
апрель 2024;137;0,000057;
май 2024;205;0,000087;
июнь 2024;110;0,000056;
июль 2024;116;0,000059;
август 2024;121;0,000061;
сентябрь 2024;101;0,000046;
октябрь 2024;144;0,000058;
ноябрь 2024;146;0,000056;
декабрь 2024;157;0,000058;
январь 2025;149;0,000055;
февраль 2025;109;0,000042;
март 2025;147;0,000054;
апрель 2025;107;0,000041;
май 2025;92;0,000038;
июнь 2025;144;0,000061;
