Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Угольники», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;3 055;0,0014;
август 2023;3 065;0,0014;
сентябрь 2023;5 057;0,0021;
октябрь 2023;9 190;0,0034;
ноябрь 2023;5 352;0,0020;
декабрь 2023;4 858;0,0018;
январь 2024;5 214;0,0019;
февраль 2024;5 974;0,0024;
март 2024;6 322;0,0024;
апрель 2024;5 710;0,0024;
май 2024;5 794;0,0024;
июнь 2024;2 869;0,0014;
июль 2024;2 888;0,0014;
август 2024;3 061;0,0015;
сентябрь 2024;5 188;0,0024;
октябрь 2024;6 010;0,0024;
ноябрь 2024;6 266;0,0024;
декабрь 2024;6 022;0,0022;
январь 2025;6 357;0,0023;
февраль 2025;6 867;0,0026;
март 2025;6 748;0,0025;
апрель 2025;7 699;0,0029;
май 2025;6 072;0,0025;
июнь 2025;3 507;0,0015;
