Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пеналы для ванной», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;194;0,000091;
август 2023;282;0,000132;
сентябрь 2023;269;0,000112;
октябрь 2023;318;0,000118;
ноябрь 2023;461;0,000175;
декабрь 2023;283;0,000105;
январь 2024;266;0,000101;
февраль 2024;321;0,000131;
март 2024;267;0,000104;
апрель 2024;243;0,000102;
май 2024;187;0,000079;
июнь 2024;141;0,000072;
июль 2024;179;0,000091;
август 2024;194;0,000099;
сентябрь 2024;218;0,000101;
октябрь 2024;234;0,000094;
ноябрь 2024;217;0,000084;
декабрь 2024;207;0,000077;
январь 2025;218;0,000080;
февраль 2025;210;0,000081;
март 2025;200;0,000074;
апрель 2025;186;0,000071;
май 2025;123;0,000051;
июнь 2025;163;0,000069;
