Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Зеркала без подсветки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;54;0,000025;
август 2023;66;0,000031;
сентябрь 2023;53;0,000022;
октябрь 2023;50;0,000018;
ноябрь 2023;71;0,000027;
декабрь 2023;60;0,000022;
январь 2024;61;0,000023;
февраль 2024;89;0,000036;
март 2024;101;0,000039;
апрель 2024;60;0,000025;
май 2024;37;0,000015;
июнь 2024;85;0,000043;
июль 2024;53;0,000027;
август 2024;69;0,000035;
сентябрь 2024;55;0,000025;
октябрь 2024;56;0,000022;
ноябрь 2024;81;0,000031;
декабрь 2024;62;0,000023;
январь 2025;78;0,000028;
февраль 2025;85;0,000032;
март 2025;93;0,000034;
апрель 2025;71;0,000027;
май 2025;35;0,000014;
июнь 2025;48;0,000020;
