Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Писсуары», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 154;0,00054;
август 2023;1 249;0,00058;
сентябрь 2023;1 155;0,00048;
октябрь 2023;1 256;0,00046;
ноябрь 2023;1 400;0,00053;
декабрь 2023;1 216;0,00045;
январь 2024;1 125;0,00043;
февраль 2024;1 333;0,00054;
март 2024;1 363;0,00053;
апрель 2024;1 336;0,00056;
май 2024;1 413;0,00060;
июнь 2024;1 094;0,00056;
июль 2024;1 301;0,00066;
август 2024;1 228;0,00062;
сентябрь 2024;1 198;0,00055;
октябрь 2024;1 327;0,00053;
ноябрь 2024;1 511;0,00058;
декабрь 2024;1 234;0,00046;
январь 2025;1 327;0,00049;
февраль 2025;1 613;0,00062;
март 2025;1 492;0,00055;
апрель 2025;1 355;0,00052;
май 2025;1 173;0,00049;
июнь 2025;1 167;0,00050;
