Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Компьютерные провода», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;64;0,000030;
август 2023;92;0,000043;
сентябрь 2023;63;0,000026;
октябрь 2023;99;0,000037;
ноябрь 2023;573;0,000217;
декабрь 2023;136;0,000050;
январь 2024;111;0,000042;
февраль 2024;78;0,000031;
март 2024;103;0,000040;
апрель 2024;59;0,000024;
май 2024;51;0,000021;
июнь 2024;82;0,000042;
июль 2024;58;0,000029;
август 2024;67;0,000034;
сентябрь 2024;43;0,000019;
октябрь 2024;90;0,000036;
ноябрь 2024;361;0,000139;
декабрь 2024;238;0,000088;
январь 2025;146;0,000054;
февраль 2025;87;0,000033;
март 2025;108;0,000040;
апрель 2025;86;0,000033;
май 2025;67;0,000028;
июнь 2025;63;0,000027;
