Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кондиционеры», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;275 959;0,130;
август 2023;199 191;0,093;
сентябрь 2023;59 005;0,024;
октябрь 2023;51 570;0,019;
ноябрь 2023;45 379;0,017;
декабрь 2023;45 812;0,017;
январь 2024;47 551;0,018;
февраль 2024;62 090;0,025;
март 2024;98 348;0,038;
апрель 2024;162 249;0,068;
май 2024;161 055;0,068;
июнь 2024;364 166;0,186;
июль 2024;253 740;0,130;
август 2024;70 415;0,035;
сентябрь 2024;60 954;0,028;
октябрь 2024;54 812;0,022;
ноябрь 2024;48 799;0,018;
декабрь 2024;43 878;0,016;
январь 2025;50 431;0,018;
февраль 2025;64 176;0,024;
март 2025;91 862;0,034;
апрель 2025;138 952;0,053;
май 2025;171 918;0,072;
июнь 2025;202 245;0,086;
