Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Погонаж», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;189;0,000089;
август 2023;142;0,000066;
сентябрь 2023;167;0,000069;
октябрь 2023;162;0,000060;
ноябрь 2023;150;0,000057;
декабрь 2023;143;0,000053;
январь 2024;109;0,000041;
февраль 2024;121;0,000049;
март 2024;126;0,000049;
апрель 2024;223;0,000093;
май 2024;194;0,000082;
июнь 2024;183;0,000093;
июль 2024;135;0,000069;
август 2024;143;0,000073;
сентябрь 2024;148;0,000068;
октябрь 2024;173;0,000069;
ноябрь 2024;175;0,000067;
декабрь 2024;124;0,000046;
январь 2025;164;0,000060;
февраль 2025;167;0,000064;
март 2025;253;0,000094;
апрель 2025;182;0,000070;
май 2025;198;0,000082;
июнь 2025;235;0,000100;
