Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Трансформаторы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;13 054;0,0061;
август 2023;13 167;0,0061;
сентябрь 2023;15 882;0,0066;
октябрь 2023;20 678;0,0077;
ноябрь 2023;23 574;0,0089;
декабрь 2023;23 651;0,0088;
январь 2024;21 730;0,0083;
февраль 2024;23 749;0,0096;
март 2024;22 284;0,0087;
апрель 2024;22 171;0,0093;
май 2024;22 481;0,0095;
июнь 2024;22 438;0,0114;
июль 2024;14 065;0,0072;
август 2024;12 431;0,0063;
сентябрь 2024;14 970;0,0069;
октябрь 2024;19 949;0,0080;
ноябрь 2024;24 947;0,0096;
декабрь 2024;25 913;0,0096;
январь 2025;22 981;0,0085;
февраль 2025;25 458;0,0098;
март 2025;26 513;0,0098;
апрель 2025;24 194;0,0093;
май 2025;21 015;0,0088;
июнь 2025;24 579;0,0105;
