Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Дин рейки», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;1 347;0,00063;
август 2023;1 454;0,00068;
сентябрь 2023;1 552;0,00064;
октябрь 2023;1 715;0,00064;
ноябрь 2023;1 740;0,00066;
декабрь 2023;1 464;0,00054;
январь 2024;1 431;0,00054;
февраль 2024;1 620;0,00066;
март 2024;1 630;0,00063;
апрель 2024;1 580;0,00066;
май 2024;1 776;0,00075;
июнь 2024;1 374;0,00070;
июль 2024;1 645;0,00084;
август 2024;1 659;0,00084;
сентябрь 2024;1 752;0,00081;
октябрь 2024;2 216;0,00089;
ноябрь 2024;2 127;0,00082;
декабрь 2024;2 097;0,00078;
январь 2025;1 869;0,00069;
февраль 2025;2 312;0,00089;
март 2025;2 169;0,00080;
апрель 2025;2 048;0,00079;
май 2025;1 867;0,00078;
июнь 2025;1 818;0,00077;
