Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Газовые шланги», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;2 146;0,00101;
август 2023;1 944;0,00091;
сентябрь 2023;2 044;0,00085;
октябрь 2023;2 252;0,00084;
ноябрь 2023;2 470;0,00093;
декабрь 2023;2 236;0,00083;
январь 2024;1 874;0,00071;
февраль 2024;1 805;0,00073;
март 2024;1 771;0,00069;
апрель 2024;1 508;0,00063;
май 2024;1 651;0,00070;
июнь 2024;1 448;0,00074;
июль 2024;1 613;0,00082;
август 2024;1 809;0,00092;
сентябрь 2024;1 712;0,00079;
октябрь 2024;2 179;0,00087;
ноябрь 2024;2 149;0,00083;
декабрь 2024;2 195;0,00081;
январь 2025;2 049;0,00076;
февраль 2025;1 861;0,00071;
март 2025;1 989;0,00074;
апрель 2025;1 744;0,00067;
май 2025;1 640;0,00068;
июнь 2025;1 868;0,00080;
