Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плитка зеркальная», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;223;0,000105;
август 2023;176;0,000082;
сентябрь 2023;208;0,000086;
октябрь 2023;177;0,000066;
ноябрь 2023;185;0,000070;
декабрь 2023;187;0,000069;
январь 2024;213;0,000081;
февраль 2024;154;0,000062;
март 2024;168;0,000065;
апрель 2024;106;0,000044;
май 2024;143;0,000061;
июнь 2024;78;0,000039;
июль 2024;103;0,000052;
август 2024;126;0,000064;
сентябрь 2024;106;0,000049;
октябрь 2024;161;0,000064;
ноябрь 2024;165;0,000063;
декабрь 2024;149;0,000055;
январь 2025;214;0,000079;
февраль 2025;159;0,000061;
март 2025;124;0,000046;
апрель 2025;118;0,000045;
май 2025;83;0,000034;
июнь 2025;102;0,000043;
