Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шайбы», по месяцам, 01.07.2023 — 30.06.2025, Республика Татарстан, все устройства
июль 2023;13 354;0,0063;
август 2023;14 492;0,0068;
сентябрь 2023;19 059;0,0079;
октябрь 2023;20 684;0,0077;
ноябрь 2023;22 059;0,0083;
декабрь 2023;18 936;0,0070;
январь 2024;21 367;0,0081;
февраль 2024;24 862;0,0101;
март 2024;23 632;0,0092;
апрель 2024;20 360;0,0085;
май 2024;21 573;0,0092;
июнь 2024;14 136;0,0072;
июль 2024;14 566;0,0074;
август 2024;14 873;0,0076;
сентябрь 2024;18 906;0,0087;
октябрь 2024;23 623;0,0095;
ноябрь 2024;27 085;0,0104;
декабрь 2024;26 154;0,0097;
январь 2025;29 961;0,0111;
февраль 2025;35 124;0,0135;
март 2025;39 054;0,0145;
апрель 2025;50 404;0,0194;
май 2025;23 448;0,0098;
июнь 2025;18 273;0,0078;
